,Start frame,End frame,Duration (frames),Duration (sec)
119,3868.0,3876.0,9.0,0.3
120,3925.0,3961.0,37.0,1.2333333333333334
121,3963.0,3963.0,1.0,0.03333333333333333
122,3965.0,3971.0,7.0,0.23333333333333334
123,3975.0,4021.0,47.0,1.5666666666666667
124,4053.0,4056.0,4.0,0.13333333333333333
125,4065.0,4069.0,5.0,0.16666666666666666
126,4089.0,4123.0,35.0,1.1666666666666667
127,4132.0,4144.0,13.0,0.43333333333333335
128,4146.0,4146.0,1.0,0.03333333333333333
129,4151.0,4162.0,12.0,0.4
130,4184.0,4188.0,5.0,0.16666666666666666
131,4198.0,4198.0,1.0,0.03333333333333333
132,4202.0,4202.0,1.0,0.03333333333333333
133,4204.0,4204.0,1.0,0.03333333333333333
134,4221.0,4239.0,19.0,0.6333333333333333
135,4272.0,4275.0,4.0,0.13333333333333333
136,4284.0,4293.0,10.0,0.3333333333333333
137,4295.0,4295.0,1.0,0.03333333333333333
138,4301.0,4349.0,49.0,1.6333333333333333
139,4355.0,4361.0,7.0,0.23333333333333334
140,4370.0,4386.0,17.0,0.5666666666666667
141,4399.0,4416.0,18.0,0.6
142,4442.0,4449.0,8.0,0.26666666666666666
143,4495.0,4506.0,12.0,0.4
144,4538.0,4543.0,6.0,0.2
145,4620.0,4645.0,26.0,0.8666666666666667
146,4656.0,4659.0,4.0,0.13333333333333333
147,4668.0,4700.0,33.0,1.1
148,4702.0,4708.0,7.0,0.23333333333333334
149,4711.0,4724.0,14.0,0.4666666666666667
150,4785.0,4788.0,4.0,0.13333333333333333
151,4807.0,4827.0,21.0,0.7
152,4852.0,4911.0,60.0,2.0
153,4949.0,4973.0,25.0,0.8333333333333334
154,5001.0,5002.0,2.0,0.06666666666666667
155,5013.0,5015.0,3.0,0.1
156,5080.0,5108.0,29.0,0.9666666666666667
157,5120.0,5122.0,3.0,0.1
158,5137.0,5241.0,105.0,3.5
159,5256.0,5288.0,33.0,1.1
160,5344.0,5392.0,49.0,1.6333333333333333
161,5397.0,5404.0,8.0,0.26666666666666666
162,5439.0,5446.0,8.0,0.26666666666666666
163,5481.0,5518.0,38.0,1.2666666666666666
164,5544.0,5549.0,6.0,0.2
165,5552.0,5552.0,1.0,0.03333333333333333
166,5554.0,5554.0,1.0,0.03333333333333333
167,5603.0,5610.0,8.0,0.26666666666666666
168,5759.0,5783.0,25.0,0.8333333333333334
169,5824.0,5830.0,7.0,0.23333333333333334
170,5856.0,5936.0,81.0,2.7
171,6000.0,6017.0,18.0,0.6
172,6023.0,6027.0,5.0,0.16666666666666666
173,6043.0,6083.0,41.0,1.3666666666666667
174,6102.0,6117.0,16.0,0.5333333333333333
175,6255.0,6280.0,26.0,0.8666666666666667
176,6299.0,6301.0,3.0,0.1
177,6303.0,6304.0,2.0,0.06666666666666667
178,6331.0,6374.0,44.0,1.4666666666666666
179,6396.0,6405.0,10.0,0.3333333333333333
180,6417.0,6432.0,16.0,0.5333333333333333
181,6470.0,6470.0,1.0,0.03333333333333333
182,6472.0,6475.0,4.0,0.13333333333333333
183,6480.0,6487.0,8.0,0.26666666666666666
184,6501.0,6502.0,2.0,0.06666666666666667
185,6509.0,6517.0,9.0,0.3
186,6525.0,6564.0,40.0,1.3333333333333333
187,6569.0,6576.0,8.0,0.26666666666666666
188,6595.0,6595.0,1.0,0.03333333333333333
189,6611.0,6617.0,7.0,0.23333333333333334
190,6621.0,6621.0,1.0,0.03333333333333333
191,6628.0,6651.0,24.0,0.8
192,6654.0,6659.0,6.0,0.2
193,6662.0,6663.0,2.0,0.06666666666666667
194,6676.0,6689.0,14.0,0.4666666666666667
195,6693.0,6737.0,45.0,1.5
196,6750.0,6784.0,35.0,1.1666666666666667
197,6788.0,6795.0,8.0,0.26666666666666666
198,6798.0,6809.0,12.0,0.4
199,6812.0,6812.0,1.0,0.03333333333333333
200,6815.0,6817.0,3.0,0.1
201,6819.0,6819.0,1.0,0.03333333333333333
202,6821.0,6869.0,49.0,1.6333333333333333
203,6881.0,6902.0,22.0,0.7333333333333333
204,6942.0,6949.0,8.0,0.26666666666666666
205,6958.0,6960.0,3.0,0.1
